stu_id,stu_name,email,k1_energy,k2_energy,k3_tick1,k3_tick2,my_pref,concerns
20004488,"SAFFRON, Corgipoo",CorgipooSAF@connect.ust.hk,26,80,0,0,,
20023331,"HYSSOP, Chamois",ChamoisHYS@connect.ust.hk,27,85,0,0,,
20043679,"LEEKS, Beetle",BeetleLEE@connect.ust.hk,71,40,0,0,,
20067232,"CHRYSANTHEMUM, Abelisaurus",AbelisaurusCHR@connect.ust.hk,57,60,0,0,,
20076931,"CELERIAC, Aniu",AniuCEL@connect.ust.hk,54,80,0,0,,
20089887,"ANGELICA, Daisy",DaisyANG@connect.ust.hk,44,65,1,1,,
20097861,"CHICORY, Iguanodon",IguanodonCHI@connect.ust.hk,58,45,0,0,,
20109368,"SPEARMINT, Kenerdy",KenerdySPE@connect.ust.hk,44,70,0,0,,
20121416,"LAVENDER, Venus",VenusLAV@connect.ust.hk,55,65,0,0,,
20133348,"VANILLA, Aphids",AphidsVAN@connect.ust.hk,47,65,1,0,,
